title;desc;link;image;category
Harvard's CS50X;In this course, I learnt about C, memory, data structures, Python, SQL, HTML, CSS, JS and Flask.;https://cs50.harvard.edu/certificates/507ce9c2-5e9e-4ac2-87f1-1ba1f2c19e7a;CS50X.png;Coding
Harvard's CS50P;In this course, I learnt about functions, loops, expection handling, libraries, unit tests, I/O, regex and lots more.;https://cs50.harvard.edu/certificates/01234a75-c3ce-4950-9373-6d7c86464bd7;CS50P.png;Coding
Harvard's CS50SQL;In this course, I learnt about querying, relating, viewing, writing, designing and so much more.;https://cs50.harvard.edu/certificates/e793ec1a-344f-405a-995d-53c5608ee884;CS50SQL.png;Coding
IBM's PY0101EN;In this course, I learnt the Python basics and how to use it for Data Science.;https://courses.cognitiveclass.ai/certificates/25cd93a0a4d94a308160664305c894aa;PY0101EN.png;Coding
IBM's DA0101EN;In this course, I learnt how to use Pandas, Numpy and Scikit-Learn to prepare, clean and manipulate data and build ML models.;https://courses.cognitiveclass.ai/certificates/6a2e17158c134b14898b92599d850dc5;DA0101EN.png;Coding
IBM's ML0104EN;In this course, I learnt about supervised and unsupervised learning, classification, regression, and much more.;https://courses.cognitiveclass.ai/certificates/91d41f9bdfa14149af7d16544519a17e;ML0104EN.png;Coding
HackerRank Python Basics;This test was about OOP, strings, iteration and much more.;https://www.hackerrank.com/certificates/7ebca3f42d31;hrpython.png;Coding
HackerRank SQL Basics;This test was about simple queries, aggregators and relationships.;https://www.hackerrank.com/certificates/72d89a9f8509;hrsql.png;Coding
ABRSM Grade 5 Piano;ABRSM Practical Grade in Piano.;https://portal.abrsm.org/validate?certificateNumber=0004114972&contactId=006EU381;grade5piano.png;Piano
ABRSM Grade 4 Piano;ABRSM Practical Grade in Piano.;https://portal.abrsm.org/validate?certificateNumber=0003133927&contactId=006EU381;grade4piano.png;Piano
ABRSM Grade 3 Piano;ABRSM Practical Grade in Piano.;https://portal.abrsm.org/validate?certificateNumber=0002582964&contactId=006EU381;grade3piano.png;Piano
ABRSM Grade 2 Piano;ABRSM Practical Grade in Piano.;https://portal.abrsm.org/validate?certificateNumber=0002272412&contactId=006EU381;grade2piano.png;Piano
ABRSM Grade 1 Piano;ABRSM Performance Grade in Piano.;https://portal.abrsm.org/validate?certificateNumber=0002176201&contactId=006EU381;grade1piano.png;Piano
ABRSM Grade 4 Music Theory;ABRSM Digital Grade in Music Theory.;https://portal.abrsm.org/validate?certificateNumber=0004226544&contactId=006EU381;grade4mt.png;Theory
ABRSM Grade 3 Music Theory;ABRSM Digital Grade in Music Theory.;https://portal.abrsm.org/validate?certificateNumber=0002848480&contactId=006EU381;grade3mt.png;Theory
ABRSM Grade 2 Music Theory;ABRSM Digital Grade in Music Theory.;https://portal.abrsm.org/validate?certificateNumber=0002605282&contactId=006EU381;grade2mt.png;Theory
ABRSM Grade 1 Music Theory;ABRSM Digital Grade in Music Theory.;https://portal.abrsm.org/validate?certificateNumber=0002532876&contactId=006EU381;grade1mt.png;Theory